ID_Uzorka,GPS_LAT,GPS_LONG,Dubina_Busenja_cm,Temp_Tla_C,pH_Vrijednost,H2O_Postotak,Metan_Senzor,Organske_Molekule
1,18.486636,77.38399,12.5,-47.6,6.79,4.1,Negativno,Ne
2,18.471203,77.395197,8.8,-53.1,6.49,4.7,Negativno,Da
3,18.471652,77.399317,11.6,-68.6,7.99,1.84,Negativno,Ne
4,18.485444,77.387307,14.1,-66.1,6.58,0.28,Negativno,Da
5,18.470716,77.390639,2.0,-49.3,8.39,3.02,Pozitivno,Ne
6,18.486167,77.389148,11.7,-56.8,6.98,2.53,Negativno,Ne
7,18.480116,77.397494,4.0,-18.0,6.98,5.249470044986456,Pozitivno,Da
8,18.475552,77.392089,9.9,-38.3,7.19,0.55,Negativno,Ne
9,18.485258,77.379846,8.0,-51.2,6.01,5.12,Negativno,Ne
10,18.492283,77.378613,11.8,-61.8,6.08,3.82,Negativno,Ne
11,18.474467,77.40416,8.3,-32.8,6.41,1.79,Negativno,Ne
12,18.483094,77.380658,13.1,-62.8,7.7,2.22,Negativno,Ne
13,18.489577,77.38593,13.6,-45.6,7.12,0.59,Negativno,Ne
14,18.483608,77.406542,6.4,-40.8,6.88,1.8,Negativno,Ne
15,18.46451,77.370371,13.2,-35.5,7.64,4.48,Negativno,Ne
16,18.480331,77.366755,5.5,-59.2,6.54,0.5,Negativno,Ne
17,18.488812,77.410598,2.7,-33.1,6.59,1.28,Negativno,Ne
18,18.491052,77.366355,6.7,-46.6,6.72,4.69,Negativno,Ne
19,18.497192,77.406795,3.6,-71.5,6.85,4.92,Negativno,Ne
20,18.496295,77.386425,8.8,-39.9,7.7,4.79,Negativno,Ne
21,18.473115,77.394757,2.6,-44.7,7.66,5.86,Negativno,Ne
22,18.472755,77.397752,5.5,-43.8,6.94,2.9,Pozitivno,Ne
23,18.498276,77.380931,14.7,-53.2,6.76,1.12,Negativno,Ne
24,18.46385,77.381816,9.5,-34.7,6.93,5.72,Negativno,Ne
25,18.484524,77.387244,0.7,-69.5,6.58,5.22,Negativno,Ne
