ID_Uzorka;GPS_LAT;GPS_LONG
1;18.479617;77.392206
2;18.482669;77.392128
3;18.485333;77.397254
4;18.486722;77.393723
5;18.477974;77.393204
6;18.480802;77.386957
7;18.481737;77.393752
8;18.48504;77.394138
9;18.485484;77.388341
10;18.481734;77.386566
11;18.482833;77.393977
12;18.482052;77.396494
13;18.492457;77.399048
14;18.475799;77.382058
15;18.486093;77.384327
16;18.485191;77.388134
17;18.479254;77.391079
18;18.482881;77.383678
19;18.479579;77.386972
20;18.476404;77.398322
21;18.486612;77.397617
22;18.481415;77.392847
23;18.484936;77.379294
24;18.489599;77.386848
25;18.479716;77.398843
26;18.488234;77.390703
27;18.474633;77.39834
28;18.48226;77.384642
29;18.481745;77.390953
30;18.483682;77.389125
31;18.478663;77.387364
32;18.479057;77.393499
33;18.489194;77.390291
34;18.488001;77.389941
35;18.488905;77.386897
36;18.476763;77.394297
37;18.478231;77.394106
38;18.484832;77.393958
39;18.49684;77.39128
40;18.484911;77.385948
41;18.490687;77.384147
42;18.482816;77.394065
43;18.482559;77.393042
44;18.486048;77.390525
45;18.48364;77.391471
46;18.485967;77.389603
47;18.486623;77.391181
48;18.483607;77.3907
49;18.479549;77.392112
50;18.477595;77.380947
51;18.487539;77.386192
52;18.484549;77.38679
53;18.491406;77.384704
54;18.480308;77.386068
55;18.482688;77.391541
56;18.494021;77.386019
57;18.490488;77.391059
58;18.484522;77.395526
59;18.48987;77.3873
60;18.477561;77.39705
61;18.487095;77.394857
62;18.487708;77.395637
63;18.49348;77.384158
64;18.485491;77.392984
65;18.484838;77.394858
66;18.483039;77.387437
67;18.481275;77.392574
68;18.480947;77.396578
69;18.484038;77.394089
70;18.480033;77.392359
71;18.488672;77.387473
72;18.490058;77.392193
73;18.490304;77.389335
74;18.485239;77.389966
75;18.478365;77.393176
76;18.490766;77.394526
77;18.480604;77.389716
78;18.492028;77.397111
79;18.49037;77.391659
80;18.467933;77.392799
81;18.489061;77.392892
82;18.491355;77.396829
