ID_Uzorka;Dubina_Busenja_cm;Temp_Tla_C;pH_Vrijednost;H2O_Postotak;Metan_Senzor;Organske_Molekule
1;7.9;-12.2;7.18;5.23;Pozitivno;Da
2;9.9;-16.0;6.94;4.64;Negativno;Da
3;10.7;-17.4;6.98;4.99;Pozitivno;Da
4;10.1;-25.3;6.86;4.32;Pozitivno;Da
5;9.7;-10.7;7.42;4.59;Pozitivno;Da
6;9.1;-15.1;7.02;3.86;Pozitivno;Da
7;7.1;-26.5;7.12;4.59;Pozitivno;Da
8;9.6;-20.3;6.92;5.41;Pozitivno;Da
9;9.6;-21.3;6.67;3.96;Pozitivno;Da
10;8.9;-24.0;6.9;5.39;Negativno;Da
11;10.2;-22.9;6.7;3.95;Negativno;Da
12;10.1;-19.0;7.03;4.97;Pozitivno;Ne
13;10.2;-20.8;7.23;4.98;Pozitivno;Ne
14;10.1;-23.7;7.16;5.39;Pozitivno;Da
15;13.0;-26.8;6.86;5.36;Pozitivno;Da
16;10.8;-17.3;7.1;4.52;Pozitivno;Ne
17;12.3;-17.7;7.32;4.93;Pozitivno;Da
18;8.7;-23.9;7.06;4.57;Pozitivno;Da
19;9.7;-27.0;6.8;5.54;Pozitivno;Da
20;6.2;-13.4;6.98;5.8;Pozitivno;Da
21;11.9;-18.9;6.78;5.13;Pozitivno;Da
22;7.8;-26.6;6.68;5.21;Pozitivno;Da
23;8.3;-22.0;6.76;5.77;Pozitivno;Da
24;8.7;-11.9;7.19;4.87;Pozitivno;Da
25;11.2;-27.5;6.98;5.21;Pozitivno;Da
26;8.5;-21.6;6.8;5.0;Pozitivno;Da
27;7.8;-26.3;6.84;5.19;Pozitivno;Ne
28;8.9;-14.3;6.71;5.17;Pozitivno;Da
29;8.5;-23.5;7.12;4.11;Pozitivno;Da
30;10.5;-10.9;7.11;4.96;Pozitivno;Ne
31;10.5;-21.9;7.14;5.42;Pozitivno;Ne
32;11.0;-22.6;6.89;4.81;Pozitivno;Ne
33;12.1;-21.1;6.88;4.97;Pozitivno;Ne
34;9.8;-19.9;6.8;5.03;Pozitivno;Da
35;12.5;-27.7;6.67;4.56;Pozitivno;Da
36;6.6;-20.2;7.09;4.61;Pozitivno;Ne
37;9.2;-25.5;7.05;5.0;Pozitivno;Da
38;11.3;-17.2;6.77;5.39;Pozitivno;Da
39;12.0;-20.0;7.22;5.34;Pozitivno;Da
40;8.6;-29.8;7.03;5.47;Negativno;Da
41;10.4;-17.0;7.54;5.05;Pozitivno;Da
42;9.0;-20.3;7.01;4.81;Pozitivno;Da
43;7.9;-24.6;6.85;4.84;Pozitivno;Da
44;8.7;-9.9;7.01;4.58;Pozitivno;Da
45;8.0;-23.7;6.98;4.8;Pozitivno;Da
46;9.5;-26.8;6.51;4.56;Pozitivno;Da
47;8.6;-20.2;7.49;5.08;Pozitivno;Da
